epsilon approx query
0.9 0.000247955322265625 nan
0.89 0.000247955322265625 nan
0.88 0.000247955322265625 nan
0.87 0.000247955322265625 nan
0.86 0.000247955322265625 nan
0.85 0.000247955322265625 nan
0.84 0.000247955322265625 nan
0.83 0.000247955322265625 nan
0.82 0.000247955322265625 nan
0.8099999999999999 0.000247955322265625 nan
0.7999999999999999 0.000247955322265625 nan
0.7899999999999999 0.000247955322265625 nan
0.7799999999999999 0.000247955322265625 nan
0.7699999999999999 0.000247955322265625 nan
0.7599999999999999 0.000247955322265625 nan
0.7499999999999999 0.000247955322265625 nan
0.7399999999999999 0.000247955322265625 nan
0.7299999999999999 0.000247955322265625 nan
0.7199999999999999 0.000247955322265625 nan
0.7099999999999999 0.000247955322265625 nan
0.6999999999999998 0.000247955322265625 nan
0.6899999999999998 0.000247955322265625 nan
0.6799999999999998 0.000247955322265625 nan
0.6699999999999998 0.000247955322265625 nan
0.6599999999999998 0.000247955322265625 nan
0.6499999999999998 0.000247955322265625 nan
0.6399999999999998 0.000247955322265625 nan
0.6299999999999998 0.000247955322265625 nan
0.6199999999999998 0.000247955322265625 nan
0.6099999999999998 0.000247955322265625 nan
0.5999999999999998 0.000247955322265625 nan
0.5899999999999997 0.000247955322265625 nan
0.5799999999999997 0.000247955322265625 nan
0.5699999999999997 0.000247955322265625 nan
0.5599999999999997 0.000247955322265625 nan
0.5499999999999997 0.000247955322265625 nan
0.5399999999999997 0.000247955322265625 nan
0.5299999999999997 0.000247955322265625 nan
0.5199999999999997 0.000247955322265625 nan
0.5099999999999997 0.000247955322265625 nan
0.49999999999999967 0.000247955322265625 nan
0.48999999999999966 0.000247955322265625 nan
0.47999999999999965 0.000247955322265625 nan
0.46999999999999964 0.000247955322265625 nan
0.45999999999999963 0.000247955322265625 nan
0.4499999999999996 0.000247955322265625 nan
0.4399999999999996 0.000247955322265625 nan
0.4299999999999996 0.000247955322265625 nan
0.4199999999999996 0.000247955322265625 nan
0.4099999999999996 0.000247955322265625 nan
0.3999999999999996 0.000247955322265625 nan
0.38999999999999957 0.000247955322265625 nan
0.37999999999999956 8.0108642578125e-05 nan
0.36999999999999955 8.0108642578125e-05 nan
0.35999999999999954 0.000125885009765625 nan
0.34999999999999953 0.000125885009765625 nan
0.3399999999999995 0.000125885009765625 nan
0.3299999999999995 0.000125885009765625 nan
0.3199999999999995 0.000125885009765625 nan
0.3099999999999995 0.000125885009765625 nan
0.2999999999999995 0.000125885009765625 nan
0.2899999999999995 0.000125885009765625 nan
0.27999999999999947 0.000125885009765625 nan
0.26999999999999946 0.000125885009765625 nan
0.25999999999999945 0.000125885009765625 nan
0.24999999999999944 0.000247955322265625 nan
0.23999999999999944 0.000247955322265625 nan
0.22999999999999943 0.000247955322265625 nan
0.21999999999999942 0.000247955322265625 nan
0.2099999999999994 0.000247955322265625 nan
0.1999999999999994 0.8692588806152344 0.4541396843232365
0.1899999999999994 0.8692588806152344 0.4541396843232365
0.17999999999999938 0.8585777282714844 0.4541396843232365
0.16999999999999937 0.8585777282714844 0.4541396843232365
0.15999999999999936 0.8585777282714844 0.4541396843232365
0.14999999999999936 0.8585777282714844 0.4541396843232365
0.13999999999999935 0.8585777282714844 0.6782009683835694
0.12999999999999934 0.8585777282714844 0.8468704242014835
0.11999999999999933 0.8585777282714844 0.8694187990525956
0.10999999999999932 0.8585777282714844 0.8694187990525956
0.09999999999999931 0.8696708679199219 0.8702551866896509
0.0899999999999993 0.8696708679199219 0.8702551866896509
0.0799999999999993 0.8708000183105469 0.8712781750262659
0.06999999999999929 0.8714027404785156 0.8712781750262659
0.059999999999999276 0.8714027404785156 0.8712781750262659
0.04999999999999927 0.8718070983886719 0.8713702737886665
0.03999999999999926 0.8720283508300781 0.8721241271277566
0.02999999999999925 0.8722953796386719 0.871944773494465
0.01999999999999924 0.8722190856933594 0.8722788328136899
