epsilon approx query
0.9 3.814697265625e-06 0.0
0.89 3.814697265625e-06 0.0
0.88 3.814697265625e-06 0.0
0.87 3.814697265625e-06 0.0
0.86 3.814697265625e-06 0.0
0.85 3.814697265625e-06 0.0
0.84 3.814697265625e-06 0.0
0.83 3.814697265625e-06 0.0
0.82 3.814697265625e-06 0.0
0.8099999999999999 3.814697265625e-06 0.0
0.7999999999999999 3.814697265625e-06 0.0
0.7899999999999999 3.814697265625e-06 0.0
0.7799999999999999 3.814697265625e-06 0.0
0.7699999999999999 3.814697265625e-06 0.0
0.7599999999999999 3.814697265625e-06 0.0
0.7499999999999999 3.814697265625e-06 0.0
0.7399999999999999 3.814697265625e-06 0.0
0.7299999999999999 3.814697265625e-06 0.0
0.7199999999999999 3.814697265625e-06 0.0
0.7099999999999999 3.814697265625e-06 0.0
0.6999999999999998 3.814697265625e-06 0.0
0.6899999999999998 3.814697265625e-06 0.0
0.6799999999999998 3.814697265625e-06 0.0
0.6699999999999998 3.814697265625e-06 0.0
0.6599999999999998 0.000202178955078125 0.00020505249343832015
0.6499999999999998 0.000202178955078125 0.00020505249343832015
